feature,target,cloud_ratio
D:\ITMO\senne\competition\data\train_features\doaz,D:\ITMO\senne\competition\data\train_labels\doaz.tif,0.0
D:\ITMO\senne\competition\data\train_features\whia,D:\ITMO\senne\competition\data\train_labels\whia.tif,1.0
D:\ITMO\senne\competition\data\train_features\jedq,D:\ITMO\senne\competition\data\train_labels\jedq.tif,0.84
D:\ITMO\senne\competition\data\train_features\juem,D:\ITMO\senne\competition\data\train_labels\juem.tif,0.932
D:\ITMO\senne\competition\data\train_features\wnez,D:\ITMO\senne\competition\data\train_labels\wnez.tif,1.0
D:\ITMO\senne\competition\data\train_features\usrg,D:\ITMO\senne\competition\data\train_labels\usrg.tif,0.423
D:\ITMO\senne\competition\data\train_features\xgnp,D:\ITMO\senne\competition\data\train_labels\xgnp.tif,0.109
D:\ITMO\senne\competition\data\train_features\akoq,D:\ITMO\senne\competition\data\train_labels\akoq.tif,0.962
D:\ITMO\senne\competition\data\train_features\yaag,D:\ITMO\senne\competition\data\train_labels\yaag.tif,1.0
D:\ITMO\senne\competition\data\train_features\xskm,D:\ITMO\senne\competition\data\train_labels\xskm.tif,0.46
D:\ITMO\senne\competition\data\train_features\hsae,D:\ITMO\senne\competition\data\train_labels\hsae.tif,0.996
D:\ITMO\senne\competition\data\train_features\muip,D:\ITMO\senne\competition\data\train_labels\muip.tif,0.379
D:\ITMO\senne\competition\data\train_features\nkyr,D:\ITMO\senne\competition\data\train_labels\nkyr.tif,1.0
D:\ITMO\senne\competition\data\train_features\sxqi,D:\ITMO\senne\competition\data\train_labels\sxqi.tif,0.134
D:\ITMO\senne\competition\data\train_features\bheb,D:\ITMO\senne\competition\data\train_labels\bheb.tif,0.22
D:\ITMO\senne\competition\data\train_features\tbjr,D:\ITMO\senne\competition\data\train_labels\tbjr.tif,0.778
D:\ITMO\senne\competition\data\train_features\grjf,D:\ITMO\senne\competition\data\train_labels\grjf.tif,0.45
D:\ITMO\senne\competition\data\train_features\zajs,D:\ITMO\senne\competition\data\train_labels\zajs.tif,0.295
D:\ITMO\senne\competition\data\train_features\vxrr,D:\ITMO\senne\competition\data\train_labels\vxrr.tif,0.489
D:\ITMO\senne\competition\data\train_features\qhyb,D:\ITMO\senne\competition\data\train_labels\qhyb.tif,1.0
D:\ITMO\senne\competition\data\train_features\hvtd,D:\ITMO\senne\competition\data\train_labels\hvtd.tif,0.145
D:\ITMO\senne\competition\data\train_features\fbga,D:\ITMO\senne\competition\data\train_labels\fbga.tif,0.372
D:\ITMO\senne\competition\data\train_features\xdui,D:\ITMO\senne\competition\data\train_labels\xdui.tif,0.573
D:\ITMO\senne\competition\data\train_features\fopp,D:\ITMO\senne\competition\data\train_labels\fopp.tif,1.0
D:\ITMO\senne\competition\data\train_features\nbym,D:\ITMO\senne\competition\data\train_labels\nbym.tif,0.553
D:\ITMO\senne\competition\data\train_features\apsj,D:\ITMO\senne\competition\data\train_labels\apsj.tif,0.545
D:\ITMO\senne\competition\data\train_features\suys,D:\ITMO\senne\competition\data\train_labels\suys.tif,0.881
D:\ITMO\senne\competition\data\train_features\ahcc,D:\ITMO\senne\competition\data\train_labels\ahcc.tif,1.0
D:\ITMO\senne\competition\data\train_features\ryoy,D:\ITMO\senne\competition\data\train_labels\ryoy.tif,0.13
D:\ITMO\senne\competition\data\train_features\syer,D:\ITMO\senne\competition\data\train_labels\syer.tif,0.0
D:\ITMO\senne\competition\data\train_features\msrv,D:\ITMO\senne\competition\data\train_labels\msrv.tif,0.055
D:\ITMO\senne\competition\data\train_features\atjv,D:\ITMO\senne\competition\data\train_labels\atjv.tif,0.837
D:\ITMO\senne\competition\data\train_features\coea,D:\ITMO\senne\competition\data\train_labels\coea.tif,1.0
D:\ITMO\senne\competition\data\train_features\vwxw,D:\ITMO\senne\competition\data\train_labels\vwxw.tif,0.417
D:\ITMO\senne\competition\data\train_features\mdnx,D:\ITMO\senne\competition\data\train_labels\mdnx.tif,0.85
D:\ITMO\senne\competition\data\train_features\avqy,D:\ITMO\senne\competition\data\train_labels\avqy.tif,0.716
D:\ITMO\senne\competition\data\train_features\rbfw,D:\ITMO\senne\competition\data\train_labels\rbfw.tif,1.0
D:\ITMO\senne\competition\data\train_features\bttw,D:\ITMO\senne\competition\data\train_labels\bttw.tif,0.771
D:\ITMO\senne\competition\data\train_features\bzeg,D:\ITMO\senne\competition\data\train_labels\bzeg.tif,0.15
D:\ITMO\senne\competition\data\train_features\xmtd,D:\ITMO\senne\competition\data\train_labels\xmtd.tif,1.0
D:\ITMO\senne\competition\data\train_features\mqij,D:\ITMO\senne\competition\data\train_labels\mqij.tif,0.257
D:\ITMO\senne\competition\data\train_features\rwkj,D:\ITMO\senne\competition\data\train_labels\rwkj.tif,1.0
D:\ITMO\senne\competition\data\train_features\luvn,D:\ITMO\senne\competition\data\train_labels\luvn.tif,0.723
D:\ITMO\senne\competition\data\train_features\ghfv,D:\ITMO\senne\competition\data\train_labels\ghfv.tif,0.7
D:\ITMO\senne\competition\data\train_features\jcth,D:\ITMO\senne\competition\data\train_labels\jcth.tif,0.915
D:\ITMO\senne\competition\data\train_features\coqd,D:\ITMO\senne\competition\data\train_labels\coqd.tif,0.94
D:\ITMO\senne\competition\data\train_features\amgy,D:\ITMO\senne\competition\data\train_labels\amgy.tif,0.437
D:\ITMO\senne\competition\data\train_features\wtnk,D:\ITMO\senne\competition\data\train_labels\wtnk.tif,0.086
D:\ITMO\senne\competition\data\train_features\lawe,D:\ITMO\senne\competition\data\train_labels\lawe.tif,0.018
D:\ITMO\senne\competition\data\train_features\caef,D:\ITMO\senne\competition\data\train_labels\caef.tif,1.0
D:\ITMO\senne\competition\data\train_features\wypb,D:\ITMO\senne\competition\data\train_labels\wypb.tif,0.844
D:\ITMO\senne\competition\data\train_features\jcnf,D:\ITMO\senne\competition\data\train_labels\jcnf.tif,0.588
D:\ITMO\senne\competition\data\train_features\bvfg,D:\ITMO\senne\competition\data\train_labels\bvfg.tif,0.0
D:\ITMO\senne\competition\data\train_features\jcvo,D:\ITMO\senne\competition\data\train_labels\jcvo.tif,0.922
D:\ITMO\senne\competition\data\train_features\rwjk,D:\ITMO\senne\competition\data\train_labels\rwjk.tif,1.0
D:\ITMO\senne\competition\data\train_features\hqac,D:\ITMO\senne\competition\data\train_labels\hqac.tif,1.0
D:\ITMO\senne\competition\data\train_features\tjhv,D:\ITMO\senne\competition\data\train_labels\tjhv.tif,1.0
D:\ITMO\senne\competition\data\train_features\dazo,D:\ITMO\senne\competition\data\train_labels\dazo.tif,0.708
D:\ITMO\senne\competition\data\train_features\vbfo,D:\ITMO\senne\competition\data\train_labels\vbfo.tif,0.355
D:\ITMO\senne\competition\data\train_features\khkb,D:\ITMO\senne\competition\data\train_labels\khkb.tif,0.682
D:\ITMO\senne\competition\data\train_features\entc,D:\ITMO\senne\competition\data\train_labels\entc.tif,1.0
D:\ITMO\senne\competition\data\train_features\xksd,D:\ITMO\senne\competition\data\train_labels\xksd.tif,1.0
D:\ITMO\senne\competition\data\train_features\sprr,D:\ITMO\senne\competition\data\train_labels\sprr.tif,1.0
D:\ITMO\senne\competition\data\train_features\qamk,D:\ITMO\senne\competition\data\train_labels\qamk.tif,1.0
D:\ITMO\senne\competition\data\train_features\covq,D:\ITMO\senne\competition\data\train_labels\covq.tif,1.0
D:\ITMO\senne\competition\data\train_features\iiir,D:\ITMO\senne\competition\data\train_labels\iiir.tif,0.735
D:\ITMO\senne\competition\data\train_features\wkss,D:\ITMO\senne\competition\data\train_labels\wkss.tif,1.0
D:\ITMO\senne\competition\data\train_features\ixyq,D:\ITMO\senne\competition\data\train_labels\ixyq.tif,0.345
D:\ITMO\senne\competition\data\train_features\rrly,D:\ITMO\senne\competition\data\train_labels\rrly.tif,0.999
D:\ITMO\senne\competition\data\train_features\jwvr,D:\ITMO\senne\competition\data\train_labels\jwvr.tif,1.0
D:\ITMO\senne\competition\data\train_features\dfif,D:\ITMO\senne\competition\data\train_labels\dfif.tif,1.0
D:\ITMO\senne\competition\data\train_features\cqrx,D:\ITMO\senne\competition\data\train_labels\cqrx.tif,1.0
D:\ITMO\senne\competition\data\train_features\ddjf,D:\ITMO\senne\competition\data\train_labels\ddjf.tif,1.0
D:\ITMO\senne\competition\data\train_features\njwr,D:\ITMO\senne\competition\data\train_labels\njwr.tif,0.0
D:\ITMO\senne\competition\data\train_features\ibtp,D:\ITMO\senne\competition\data\train_labels\ibtp.tif,0.0
D:\ITMO\senne\competition\data\train_features\xtqb,D:\ITMO\senne\competition\data\train_labels\xtqb.tif,1.0
D:\ITMO\senne\competition\data\train_features\qqpc,D:\ITMO\senne\competition\data\train_labels\qqpc.tif,1.0
D:\ITMO\senne\competition\data\train_features\obqx,D:\ITMO\senne\competition\data\train_labels\obqx.tif,0.312
D:\ITMO\senne\competition\data\train_features\murc,D:\ITMO\senne\competition\data\train_labels\murc.tif,0.373
D:\ITMO\senne\competition\data\train_features\bzvq,D:\ITMO\senne\competition\data\train_labels\bzvq.tif,0.568
D:\ITMO\senne\competition\data\train_features\xvdv,D:\ITMO\senne\competition\data\train_labels\xvdv.tif,0.271
D:\ITMO\senne\competition\data\train_features\yvvp,D:\ITMO\senne\competition\data\train_labels\yvvp.tif,0.548
D:\ITMO\senne\competition\data\train_features\nfce,D:\ITMO\senne\competition\data\train_labels\nfce.tif,1.0
D:\ITMO\senne\competition\data\train_features\jwsl,D:\ITMO\senne\competition\data\train_labels\jwsl.tif,0.99
D:\ITMO\senne\competition\data\train_features\ijak,D:\ITMO\senne\competition\data\train_labels\ijak.tif,0.395
D:\ITMO\senne\competition\data\train_features\vquo,D:\ITMO\senne\competition\data\train_labels\vquo.tif,0.0
D:\ITMO\senne\competition\data\train_features\vthi,D:\ITMO\senne\competition\data\train_labels\vthi.tif,0.8
D:\ITMO\senne\competition\data\train_features\pguv,D:\ITMO\senne\competition\data\train_labels\pguv.tif,0.78
D:\ITMO\senne\competition\data\train_features\tkho,D:\ITMO\senne\competition\data\train_labels\tkho.tif,0.136
D:\ITMO\senne\competition\data\train_features\evzd,D:\ITMO\senne\competition\data\train_labels\evzd.tif,0.0
D:\ITMO\senne\competition\data\train_features\pekl,D:\ITMO\senne\competition\data\train_labels\pekl.tif,0.41
D:\ITMO\senne\competition\data\train_features\ykbl,D:\ITMO\senne\competition\data\train_labels\ykbl.tif,0.143
D:\ITMO\senne\competition\data\train_features\tagh,D:\ITMO\senne\competition\data\train_labels\tagh.tif,0.932
D:\ITMO\senne\competition\data\train_features\xdqv,D:\ITMO\senne\competition\data\train_labels\xdqv.tif,0.451
D:\ITMO\senne\competition\data\train_features\ezua,D:\ITMO\senne\competition\data\train_labels\ezua.tif,0.803
D:\ITMO\senne\competition\data\train_features\clok,D:\ITMO\senne\competition\data\train_labels\clok.tif,0.0
D:\ITMO\senne\competition\data\train_features\lyjf,D:\ITMO\senne\competition\data\train_labels\lyjf.tif,0.69
D:\ITMO\senne\competition\data\train_features\eknf,D:\ITMO\senne\competition\data\train_labels\eknf.tif,0.61
D:\ITMO\senne\competition\data\train_features\pjle,D:\ITMO\senne\competition\data\train_labels\pjle.tif,1.0
D:\ITMO\senne\competition\data\train_features\wwyp,D:\ITMO\senne\competition\data\train_labels\wwyp.tif,0.323
D:\ITMO\senne\competition\data\train_features\wgoy,D:\ITMO\senne\competition\data\train_labels\wgoy.tif,0.892
D:\ITMO\senne\competition\data\train_features\xlbs,D:\ITMO\senne\competition\data\train_labels\xlbs.tif,0.966
D:\ITMO\senne\competition\data\train_features\jaqp,D:\ITMO\senne\competition\data\train_labels\jaqp.tif,1.0
D:\ITMO\senne\competition\data\train_features\fnkr,D:\ITMO\senne\competition\data\train_labels\fnkr.tif,1.0
D:\ITMO\senne\competition\data\train_features\dnct,D:\ITMO\senne\competition\data\train_labels\dnct.tif,0.0
D:\ITMO\senne\competition\data\train_features\rysa,D:\ITMO\senne\competition\data\train_labels\rysa.tif,0.251
D:\ITMO\senne\competition\data\train_features\rzhz,D:\ITMO\senne\competition\data\train_labels\rzhz.tif,0.174
D:\ITMO\senne\competition\data\train_features\vpke,D:\ITMO\senne\competition\data\train_labels\vpke.tif,0.761
D:\ITMO\senne\competition\data\train_features\xtsz,D:\ITMO\senne\competition\data\train_labels\xtsz.tif,1.0
D:\ITMO\senne\competition\data\train_features\etvr,D:\ITMO\senne\competition\data\train_labels\etvr.tif,1.0
D:\ITMO\senne\competition\data\train_features\kuhd,D:\ITMO\senne\competition\data\train_labels\kuhd.tif,1.0
D:\ITMO\senne\competition\data\train_features\vbls,D:\ITMO\senne\competition\data\train_labels\vbls.tif,0.351
D:\ITMO\senne\competition\data\train_features\apmb,D:\ITMO\senne\competition\data\train_labels\apmb.tif,0.365
D:\ITMO\senne\competition\data\train_features\utcc,D:\ITMO\senne\competition\data\train_labels\utcc.tif,0.323
D:\ITMO\senne\competition\data\train_features\xbol,D:\ITMO\senne\competition\data\train_labels\xbol.tif,1.0
D:\ITMO\senne\competition\data\train_features\jcjs,D:\ITMO\senne\competition\data\train_labels\jcjs.tif,0.75
D:\ITMO\senne\competition\data\train_features\jeik,D:\ITMO\senne\competition\data\train_labels\jeik.tif,0.791
D:\ITMO\senne\competition\data\train_features\nbcm,D:\ITMO\senne\competition\data\train_labels\nbcm.tif,0.0
D:\ITMO\senne\competition\data\train_features\ixac,D:\ITMO\senne\competition\data\train_labels\ixac.tif,0.123
D:\ITMO\senne\competition\data\train_features\ytzb,D:\ITMO\senne\competition\data\train_labels\ytzb.tif,0.0
D:\ITMO\senne\competition\data\train_features\dgry,D:\ITMO\senne\competition\data\train_labels\dgry.tif,1.0
D:\ITMO\senne\competition\data\train_features\yvjd,D:\ITMO\senne\competition\data\train_labels\yvjd.tif,0.0
D:\ITMO\senne\competition\data\train_features\tjio,D:\ITMO\senne\competition\data\train_labels\tjio.tif,1.0
D:\ITMO\senne\competition\data\train_features\cqfh,D:\ITMO\senne\competition\data\train_labels\cqfh.tif,0.761
D:\ITMO\senne\competition\data\train_features\oblx,D:\ITMO\senne\competition\data\train_labels\oblx.tif,0.391
D:\ITMO\senne\competition\data\train_features\faga,D:\ITMO\senne\competition\data\train_labels\faga.tif,0.0
D:\ITMO\senne\competition\data\train_features\ctox,D:\ITMO\senne\competition\data\train_labels\ctox.tif,0.069
D:\ITMO\senne\competition\data\train_features\mcoj,D:\ITMO\senne\competition\data\train_labels\mcoj.tif,0.706
D:\ITMO\senne\competition\data\train_features\dpmj,D:\ITMO\senne\competition\data\train_labels\dpmj.tif,0.0
D:\ITMO\senne\competition\data\train_features\nljg,D:\ITMO\senne\competition\data\train_labels\nljg.tif,0.998
D:\ITMO\senne\competition\data\train_features\lqnw,D:\ITMO\senne\competition\data\train_labels\lqnw.tif,0.559
D:\ITMO\senne\competition\data\train_features\exwn,D:\ITMO\senne\competition\data\train_labels\exwn.tif,0.872
D:\ITMO\senne\competition\data\train_features\pesv,D:\ITMO\senne\competition\data\train_labels\pesv.tif,1.0
D:\ITMO\senne\competition\data\train_features\solc,D:\ITMO\senne\competition\data\train_labels\solc.tif,0.994
D:\ITMO\senne\competition\data\train_features\ktfs,D:\ITMO\senne\competition\data\train_labels\ktfs.tif,0.0
D:\ITMO\senne\competition\data\train_features\agld,D:\ITMO\senne\competition\data\train_labels\agld.tif,1.0
D:\ITMO\senne\competition\data\train_features\qqap,D:\ITMO\senne\competition\data\train_labels\qqap.tif,0.193
D:\ITMO\senne\competition\data\train_features\xckd,D:\ITMO\senne\competition\data\train_labels\xckd.tif,0.135
D:\ITMO\senne\competition\data\train_features\wehd,D:\ITMO\senne\competition\data\train_labels\wehd.tif,1.0
D:\ITMO\senne\competition\data\train_features\mrsl,D:\ITMO\senne\competition\data\train_labels\mrsl.tif,0.577
D:\ITMO\senne\competition\data\train_features\jdoi,D:\ITMO\senne\competition\data\train_labels\jdoi.tif,0.834
D:\ITMO\senne\competition\data\train_features\xuka,D:\ITMO\senne\competition\data\train_labels\xuka.tif,1.0
D:\ITMO\senne\competition\data\train_features\hyzc,D:\ITMO\senne\competition\data\train_labels\hyzc.tif,0.978
D:\ITMO\senne\competition\data\train_features\juiy,D:\ITMO\senne\competition\data\train_labels\juiy.tif,0.928
D:\ITMO\senne\competition\data\train_features\xfuj,D:\ITMO\senne\competition\data\train_labels\xfuj.tif,0.525
D:\ITMO\senne\competition\data\train_features\kwhm,D:\ITMO\senne\competition\data\train_labels\kwhm.tif,0.076
D:\ITMO\senne\competition\data\train_features\ymcr,D:\ITMO\senne\competition\data\train_labels\ymcr.tif,0.095
D:\ITMO\senne\competition\data\train_features\cmbe,D:\ITMO\senne\competition\data\train_labels\cmbe.tif,0.005
D:\ITMO\senne\competition\data\train_features\vdxm,D:\ITMO\senne\competition\data\train_labels\vdxm.tif,0.891
D:\ITMO\senne\competition\data\train_features\kzup,D:\ITMO\senne\competition\data\train_labels\kzup.tif,0.031
D:\ITMO\senne\competition\data\train_features\cqjp,D:\ITMO\senne\competition\data\train_labels\cqjp.tif,1.0
D:\ITMO\senne\competition\data\train_features\jepz,D:\ITMO\senne\competition\data\train_labels\jepz.tif,0.201
D:\ITMO\senne\competition\data\train_features\dyvr,D:\ITMO\senne\competition\data\train_labels\dyvr.tif,0.163
D:\ITMO\senne\competition\data\train_features\kvcm,D:\ITMO\senne\competition\data\train_labels\kvcm.tif,1.0
D:\ITMO\senne\competition\data\train_features\ocxf,D:\ITMO\senne\competition\data\train_labels\ocxf.tif,0.526
D:\ITMO\senne\competition\data\train_features\srfk,D:\ITMO\senne\competition\data\train_labels\srfk.tif,1.0
D:\ITMO\senne\competition\data\train_features\zwky,D:\ITMO\senne\competition\data\train_labels\zwky.tif,1.0
D:\ITMO\senne\competition\data\train_features\bvwz,D:\ITMO\senne\competition\data\train_labels\bvwz.tif,0.334
D:\ITMO\senne\competition\data\train_features\ndmy,D:\ITMO\senne\competition\data\train_labels\ndmy.tif,1.0
D:\ITMO\senne\competition\data\train_features\lacv,D:\ITMO\senne\competition\data\train_labels\lacv.tif,0.426
D:\ITMO\senne\competition\data\train_features\swhu,D:\ITMO\senne\competition\data\train_labels\swhu.tif,0.95
D:\ITMO\senne\competition\data\train_features\cldj,D:\ITMO\senne\competition\data\train_labels\cldj.tif,0.148
D:\ITMO\senne\competition\data\train_features\ydbv,D:\ITMO\senne\competition\data\train_labels\ydbv.tif,1.0
D:\ITMO\senne\competition\data\train_features\aisz,D:\ITMO\senne\competition\data\train_labels\aisz.tif,1.0
D:\ITMO\senne\competition\data\train_features\ltii,D:\ITMO\senne\competition\data\train_labels\ltii.tif,0.993
D:\ITMO\senne\competition\data\train_features\jbfc,D:\ITMO\senne\competition\data\train_labels\jbfc.tif,0.612
D:\ITMO\senne\competition\data\train_features\bhph,D:\ITMO\senne\competition\data\train_labels\bhph.tif,1.0
D:\ITMO\senne\competition\data\train_features\nfvo,D:\ITMO\senne\competition\data\train_labels\nfvo.tif,1.0
D:\ITMO\senne\competition\data\train_features\ygtm,D:\ITMO\senne\competition\data\train_labels\ygtm.tif,0.775
D:\ITMO\senne\competition\data\train_features\gsad,D:\ITMO\senne\competition\data\train_labels\gsad.tif,0.295
D:\ITMO\senne\competition\data\train_features\fozg,D:\ITMO\senne\competition\data\train_labels\fozg.tif,0.842
D:\ITMO\senne\competition\data\train_features\wtrt,D:\ITMO\senne\competition\data\train_labels\wtrt.tif,0.073
D:\ITMO\senne\competition\data\train_features\ikcy,D:\ITMO\senne\competition\data\train_labels\ikcy.tif,0.782
D:\ITMO\senne\competition\data\train_features\wzbl,D:\ITMO\senne\competition\data\train_labels\wzbl.tif,1.0
D:\ITMO\senne\competition\data\train_features\utfx,D:\ITMO\senne\competition\data\train_labels\utfx.tif,0.02
D:\ITMO\senne\competition\data\train_features\slmr,D:\ITMO\senne\competition\data\train_labels\slmr.tif,0.921
D:\ITMO\senne\competition\data\train_features\qrnb,D:\ITMO\senne\competition\data\train_labels\qrnb.tif,0.168
D:\ITMO\senne\competition\data\train_features\lqbh,D:\ITMO\senne\competition\data\train_labels\lqbh.tif,0.18
D:\ITMO\senne\competition\data\train_features\wijr,D:\ITMO\senne\competition\data\train_labels\wijr.tif,1.0
D:\ITMO\senne\competition\data\train_features\vzix,D:\ITMO\senne\competition\data\train_labels\vzix.tif,0.176
D:\ITMO\senne\competition\data\train_features\negt,D:\ITMO\senne\competition\data\train_labels\negt.tif,0.138
D:\ITMO\senne\competition\data\train_features\ocde,D:\ITMO\senne\competition\data\train_labels\ocde.tif,0.553
D:\ITMO\senne\competition\data\train_features\nzzy,D:\ITMO\senne\competition\data\train_labels\nzzy.tif,0.802
D:\ITMO\senne\competition\data\train_features\kuno,D:\ITMO\senne\competition\data\train_labels\kuno.tif,0.98
D:\ITMO\senne\competition\data\train_features\nfgd,D:\ITMO\senne\competition\data\train_labels\nfgd.tif,0.786
D:\ITMO\senne\competition\data\train_features\aptn,D:\ITMO\senne\competition\data\train_labels\aptn.tif,0.815
D:\ITMO\senne\competition\data\train_features\dndl,D:\ITMO\senne\competition\data\train_labels\dndl.tif,0.0
D:\ITMO\senne\competition\data\train_features\flpy,D:\ITMO\senne\competition\data\train_labels\flpy.tif,1.0
D:\ITMO\senne\competition\data\train_features\ixvx,D:\ITMO\senne\competition\data\train_labels\ixvx.tif,0.0
D:\ITMO\senne\competition\data\train_features\jexh,D:\ITMO\senne\competition\data\train_labels\jexh.tif,0.398
D:\ITMO\senne\competition\data\train_features\syrw,D:\ITMO\senne\competition\data\train_labels\syrw.tif,0.997
D:\ITMO\senne\competition\data\train_features\iamy,D:\ITMO\senne\competition\data\train_labels\iamy.tif,0.0
D:\ITMO\senne\competition\data\train_features\ctjb,D:\ITMO\senne\competition\data\train_labels\ctjb.tif,1.0
D:\ITMO\senne\competition\data\train_features\pdtu,D:\ITMO\senne\competition\data\train_labels\pdtu.tif,0.488
D:\ITMO\senne\competition\data\train_features\xehi,D:\ITMO\senne\competition\data\train_labels\xehi.tif,0.307
D:\ITMO\senne\competition\data\train_features\pgbw,D:\ITMO\senne\competition\data\train_labels\pgbw.tif,0.709
D:\ITMO\senne\competition\data\train_features\vykw,D:\ITMO\senne\competition\data\train_labels\vykw.tif,0.48
D:\ITMO\senne\competition\data\train_features\xuvt,D:\ITMO\senne\competition\data\train_labels\xuvt.tif,1.0
D:\ITMO\senne\competition\data\train_features\ixeg,D:\ITMO\senne\competition\data\train_labels\ixeg.tif,0.319
D:\ITMO\senne\competition\data\train_features\tjuj,D:\ITMO\senne\competition\data\train_labels\tjuj.tif,0.84
D:\ITMO\senne\competition\data\train_features\suka,D:\ITMO\senne\competition\data\train_labels\suka.tif,0.833
D:\ITMO\senne\competition\data\train_features\xnjy,D:\ITMO\senne\competition\data\train_labels\xnjy.tif,1.0
D:\ITMO\senne\competition\data\train_features\xmdm,D:\ITMO\senne\competition\data\train_labels\xmdm.tif,0.57
D:\ITMO\senne\competition\data\train_features\lwww,D:\ITMO\senne\competition\data\train_labels\lwww.tif,0.99
D:\ITMO\senne\competition\data\train_features\bhjk,D:\ITMO\senne\competition\data\train_labels\bhjk.tif,1.0
D:\ITMO\senne\competition\data\train_features\rpyu,D:\ITMO\senne\competition\data\train_labels\rpyu.tif,1.0
D:\ITMO\senne\competition\data\train_features\tkeg,D:\ITMO\senne\competition\data\train_labels\tkeg.tif,1.0
D:\ITMO\senne\competition\data\train_features\huxm,D:\ITMO\senne\competition\data\train_labels\huxm.tif,0.016
D:\ITMO\senne\competition\data\train_features\rztg,D:\ITMO\senne\competition\data\train_labels\rztg.tif,0.33
D:\ITMO\senne\competition\data\train_features\lqzx,D:\ITMO\senne\competition\data\train_labels\lqzx.tif,0.42
D:\ITMO\senne\competition\data\train_features\vyjp,D:\ITMO\senne\competition\data\train_labels\vyjp.tif,0.566
D:\ITMO\senne\competition\data\train_features\vghz,D:\ITMO\senne\competition\data\train_labels\vghz.tif,0.0
D:\ITMO\senne\competition\data\train_features\alfq,D:\ITMO\senne\competition\data\train_labels\alfq.tif,0.0
D:\ITMO\senne\competition\data\train_features\mpqv,D:\ITMO\senne\competition\data\train_labels\mpqv.tif,0.0
D:\ITMO\senne\competition\data\train_features\melx,D:\ITMO\senne\competition\data\train_labels\melx.tif,0.875
D:\ITMO\senne\competition\data\train_features\vcrp,D:\ITMO\senne\competition\data\train_labels\vcrp.tif,0.183
D:\ITMO\senne\competition\data\train_features\yjyu,D:\ITMO\senne\competition\data\train_labels\yjyu.tif,0.0
D:\ITMO\senne\competition\data\train_features\aljq,D:\ITMO\senne\competition\data\train_labels\aljq.tif,1.0
D:\ITMO\senne\competition\data\train_features\odeu,D:\ITMO\senne\competition\data\train_labels\odeu.tif,0.637
D:\ITMO\senne\competition\data\train_features\dbih,D:\ITMO\senne\competition\data\train_labels\dbih.tif,0.657
D:\ITMO\senne\competition\data\train_features\sbdd,D:\ITMO\senne\competition\data\train_labels\sbdd.tif,0.45
D:\ITMO\senne\competition\data\train_features\usfd,D:\ITMO\senne\competition\data\train_labels\usfd.tif,0.918
D:\ITMO\senne\competition\data\train_features\ruhd,D:\ITMO\senne\competition\data\train_labels\ruhd.tif,0.023
D:\ITMO\senne\competition\data\train_features\iifx,D:\ITMO\senne\competition\data\train_labels\iifx.tif,0.671
D:\ITMO\senne\competition\data\train_features\mnxe,D:\ITMO\senne\competition\data\train_labels\mnxe.tif,0.469
D:\ITMO\senne\competition\data\train_features\wndm,D:\ITMO\senne\competition\data\train_labels\wndm.tif,0.928
D:\ITMO\senne\competition\data\train_features\xffr,D:\ITMO\senne\competition\data\train_labels\xffr.tif,0.68
D:\ITMO\senne\competition\data\train_features\aoad,D:\ITMO\senne\competition\data\train_labels\aoad.tif,0.989
D:\ITMO\senne\competition\data\train_features\snla,D:\ITMO\senne\competition\data\train_labels\snla.tif,1.0
D:\ITMO\senne\competition\data\train_features\ggpm,D:\ITMO\senne\competition\data\train_labels\ggpm.tif,1.0
D:\ITMO\senne\competition\data\train_features\xosw,D:\ITMO\senne\competition\data\train_labels\xosw.tif,0.066
D:\ITMO\senne\competition\data\train_features\xzfm,D:\ITMO\senne\competition\data\train_labels\xzfm.tif,1.0
D:\ITMO\senne\competition\data\train_features\ajsg,D:\ITMO\senne\competition\data\train_labels\ajsg.tif,0.305
D:\ITMO\senne\competition\data\train_features\ewyz,D:\ITMO\senne\competition\data\train_labels\ewyz.tif,0.9
D:\ITMO\senne\competition\data\train_features\xcuk,D:\ITMO\senne\competition\data\train_labels\xcuk.tif,0.203
D:\ITMO\senne\competition\data\train_features\endr,D:\ITMO\senne\competition\data\train_labels\endr.tif,0.41
D:\ITMO\senne\competition\data\train_features\evwz,D:\ITMO\senne\competition\data\train_labels\evwz.tif,0.985
D:\ITMO\senne\competition\data\train_features\vbkb,D:\ITMO\senne\competition\data\train_labels\vbkb.tif,0.018
D:\ITMO\senne\competition\data\train_features\vqqx,D:\ITMO\senne\competition\data\train_labels\vqqx.tif,1.0
D:\ITMO\senne\competition\data\train_features\cmqx,D:\ITMO\senne\competition\data\train_labels\cmqx.tif,0.989
D:\ITMO\senne\competition\data\train_features\bzkl,D:\ITMO\senne\competition\data\train_labels\bzkl.tif,0.207
D:\ITMO\senne\competition\data\train_features\slph,D:\ITMO\senne\competition\data\train_labels\slph.tif,0.998
D:\ITMO\senne\competition\data\train_features\hnuh,D:\ITMO\senne\competition\data\train_labels\hnuh.tif,1.0
D:\ITMO\senne\competition\data\train_features\supr,D:\ITMO\senne\competition\data\train_labels\supr.tif,0.89
D:\ITMO\senne\competition\data\train_features\htxt,D:\ITMO\senne\competition\data\train_labels\htxt.tif,1.0
D:\ITMO\senne\competition\data\train_features\qrlw,D:\ITMO\senne\competition\data\train_labels\qrlw.tif,0.527
